ID,ESG_DISC_SCORE,YEAR
GAIA US Equity,12.80990028,2017
CHNR US Equity,7.851200104,2010
CHNR US Equity,11.98349953,2017
CAAS US Equity,12.80990028,2010
CAAS US Equity,16.52890015,2012
CAAS US Equity,15.28929996,2013
IVAC US Equity,11.98349953,2010
IVAC US Equity,11.15699959,2011
IVAC US Equity,14.46280003,2016
IVAC US Equity,16.94210052,2019
SEAC US Equity,11.15699959,2010
SEAC US Equity,13.22309971,2015
SEAC US Equity,16.52890015,2016
SPPI US Equity,11.15699959,2010
SPPI US Equity,14.04959965,2017
SPPI US Equity,16.52890015,2020
FTK US Equity,11.15699959,2010
FTK US Equity,13.22309971,2012
FTK US Equity,15.70250034,2016
FTK US Equity,31.98870087,2019
WINT US Equity,12.80990028,2010
WINT US Equity,14.04959965,2011
WINT US Equity,11.98349953,2017
NYMX US Equity,11.98349953,2016
ALTO US Equity,11.15699959,2010
ALTO US Equity,7.851200104,2014
ALTO US Equity,18.59499931,2017
CXDO US Equity,11.15699959,2010
CXDO US Equity,12.80990028,2017
CERS US Equity,11.15699959,2010
CERS US Equity,14.8760004,2016
CERS US Equity,14.04959965,2019
CERS US Equity,18.18180084,2020
APWC US Equity,7.851200104,2013
APWC US Equity,11.98349953,2017
SLNG US Equity,11.15699959,2010
SLNG US Equity,14.04959965,2016
SLNG US Equity,14.8760004,2017
SLNG US Equity,12.39669991,2018
SLNG US Equity,16.94210052,2019
RMTI US Equity,11.15699959,2010
RMTI US Equity,14.04959965,2015
RMTI US Equity,14.8760004,2020
SIRI US Equity,14.04959965,2010
SIRI US Equity,16.11569977,2011
SIRI US Equity,14.8760004,2012
SIRI US Equity,16.94210052,2015
CHS US Equity,16.26790047,2010
CHS US Equity,17.70330048,2012
CHS US Equity,19.13879967,2013
CHS US Equity,20.57419968,2018
CHS US Equity,21.53109932,2019
CHS US Equity,22.00959969,2020
SIGA US Equity,12.80990028,2010
SIGA US Equity,15.28929996,2017
SIGA US Equity,16.52890015,2020
STRR US Equity,11.15699959,2010
STRR US Equity,15.28929996,2015
SYN US Equity,11.15699959,2010
SYN US Equity,14.04959965,2018
FLUX US Equity,11.15699959,2012
UNAM US Equity,14.03509998,2010
UNAM US Equity,14.91230011,2015
UNAM US Equity,13.5965004,2018
IWSY US Equity,10.74380016,2010
IWSY US Equity,11.57019997,2012
MSN US Equity,11.15699959,2011
MSN US Equity,14.04959965,2017
MSN US Equity,17.35540009,2019
NWBO US Equity,11.15699959,2011
NWBO US Equity,11.98349953,2012
NWBO US Equity,12.80990028,2015
NWBO US Equity,15.28929996,2017
NWBO US Equity,30.45969963,2019
IO US Equity,14.04959965,2010
IO US Equity,15.28929996,2017
IO US Equity,16.11569977,2018
NBY US Equity,11.15699959,2010
NBY US Equity,16.52890015,2017
CDE US Equity,11.15699959,2010
CDE US Equity,20.66119957,2015
CDE US Equity,30.57850075,2017
CDE US Equity,42.97520065,2018
CDE US Equity,43.38840103,2019
CDE US Equity,44.21490097,2020
CEMI US Equity,11.15699959,2011
CEMI US Equity,15.28929996,2017
CEMI US Equity,15.70250034,2018
CEMI US Equity,16.52890015,2019
FMCC US Equity,1.315799952,2011
FMCC US Equity,8.333299637,2012
FMCC US Equity,13.15789986,2015
FMCC US Equity,15.3508997,2017
FMCC US Equity,16.22809982,2020
CRWS US Equity,11.15699959,2011
CRWS US Equity,18.59499931,2016
KINS US Equity,14.91230011,2015
KINS US Equity,13.5965004,2016
KINS US Equity,15.78950024,2017
FNMA US Equity,10.08769989,2010
FNMA US Equity,12.71930027,2011
FNMA US Equity,13.5965004,2018
FNMA US Equity,19.73679924,2020
SFE US Equity,11.15699959,2011
SFE US Equity,11.98349953,2017
SFE US Equity,10.74380016,2018
BNET US Equity,8.677700043,2010
BNET US Equity,11.15699959,2019
GALT US Equity,12.80990028,2010
GALT US Equity,15.28929996,2011
GALT US Equity,14.04959965,2012
